algo_name,feature_type,ari,nmi,v_measure
som,freq_baseline,-0.003298614518589054,0.03091514229421744,0.03091514229421744
som,freq_weighted,-0.0059683122528068466,0.042657180699208444,0.04265718069920844
kmeans,freq_baseline,-0.006092869144642829,0.01817155530749598,0.01817155530749598
kmeans,freq_weighted,-0.006092869144642829,0.01817155530749598,0.01817155530749598
dbscan,freq_baseline,-0.010519489876792276,0.016807714605816995,0.016807714605816995
dbscan,freq_weighted,-0.03586833889030513,0.09650978874565502,0.09650978874565504
